,id,date,type,value,elo,avg_brightness,avg_entropy,avg_hm,img,title
35,1591721298-8528,1887-01-01,cohesivity,0.550720435947,103.25866939,100.94352067865135,20.58587143918892,9.647104032300986,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg/1024px-Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg,Chrysanthemums and Wild Flowers in a Vase
36,1591721298-8943,1890-07-01,valence,0.616060369366,207.601524926,172.8932094535954,20.87024565295133,4.369061341354725,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg/1024px-Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg,Two Women Crossing the Fields
37,1591721298-8943,1890-07-01,arousal,0.5233707471600001,44.542497135699996,172.8932094535954,20.87024565295133,4.369061341354725,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg/1024px-Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg,Two Women Crossing the Fields
38,1591721298-8943,1890-07-01,cohesivity,0.471298634054,-67.8618040406,172.8932094535954,20.87024565295133,4.369061341354725,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg/1024px-Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg,Two Women Crossing the Fields
39,1591721298-8943,1890-07-01,creativity,0.591988599277,123.265063109,172.8932094535954,20.87024565295133,4.369061341354725,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg/1024px-Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg,Two Women Crossing the Fields
40,1591721298-8903,1890-06-01,cohesivity,0.50283676593,15.6813501964,113.24773123144787,20.845313084923955,5.248937429634811,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Van_gogh_the_little_stream_f_740_jh_2022.jpg/1024px-Van_gogh_the_little_stream_f_740_jh_2022.jpg,The Little Stream
41,1591721298-8903,1890-06-01,valence,0.546753210165,29.446176864499996,113.24773123144787,20.845313084923955,5.248937429634811,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Van_gogh_the_little_stream_f_740_jh_2022.jpg/1024px-Van_gogh_the_little_stream_f_740_jh_2022.jpg,The Little Stream
42,1591721298-8903,1890-06-01,creativity,0.5720897945960001,73.6859874668,113.24773123144787,20.845313084923955,5.248937429634811,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Van_gogh_the_little_stream_f_740_jh_2022.jpg/1024px-Van_gogh_the_little_stream_f_740_jh_2022.jpg,The Little Stream
43,1591721298-8903,1890-06-01,arousal,0.48807167779700006,30.576531960100002,113.24773123144787,20.845313084923955,5.248937429634811,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Van_gogh_the_little_stream_f_740_jh_2022.jpg/1024px-Van_gogh_the_little_stream_f_740_jh_2022.jpg,The Little Stream
44,1591721298-8800,1889-10-01,arousal,0.588647035615,144.43907628899998,120.76923726248137,20.869000370571435,11.036496237435813,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg/1024px-%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg,"The Man is at Sea, after Demont-Breton"
